,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
31,0.8237720131874084,0.6363474130630493,0.45270092198093254,0.2740113139152527,0.07760000228881836,0.84375,0.7237613797187805,0.39753473897775016,0.43589743971824646,0.11724138259887695
32,0.8257717490196228,0.6280940175056458,0.45763018439606407,0.29428571462631226,0.08240000158548355,0.840624988079071,0.7235032916069031,0.3991733491420746,0.40909090638160706,0.12413793057203293
33,0.8265216946601868,0.6305668950080872,0.4538385609830414,0.3072625696659088,0.08799999952316284,0.8374999761581421,0.723778247833252,0.40009335776170096,0.38297873735427856,0.12413793057203293
34,0.8247718811035156,0.618573784828186,0.4618623103035495,0.2816092073917389,0.07840000092983246,0.8374999761581421,0.7266257405281067,0.4003556912144025,0.3877550959587097,0.1310344785451889
35,0.8277715444564819,0.6278807520866394,0.4533483813053637,0.31065088510513306,0.08399999886751175,0.8374999761581421,0.7274423837661743,0.401875243584315,0.3921568691730499,0.13793103396892548
36,0.8277715444564819,0.6341062784194946,0.4492051581640405,0.3060606122016907,0.08079999685287476,0.8364583253860474,0.7269600033760071,0.4001158287127813,0.375,0.12413793057203293
37,0.8277715444564819,0.6355700492858887,0.4505318077058792,0.3150289058685303,0.08720000088214874,0.8374999761581421,0.7282800674438477,0.40169576307137805,0.3921568691730499,0.13793103396892548
38,0.8258967399597168,0.6449203491210938,0.44554862034527,0.30831098556518555,0.09200000017881393,0.8395833373069763,0.7289232015609741,0.4042958358923594,0.41818180680274963,0.158620685338974
39,0.827146589756012,0.6419048309326172,0.4474120335168033,0.3236074149608612,0.09759999811649323,0.8447916507720947,0.7285000681877136,0.3944454461336136,0.44736841320991516,0.11724138259887695
40,0.8280215263366699,0.6387427449226379,0.4486433448070452,0.30188679695129395,0.07680000364780426,0.8447916507720947,0.7289909720420837,0.3962952638665835,0.44999998807907104,0.12413793057203293
41,0.8221472501754761,0.6243221163749695,0.4590403690865272,0.2492753565311432,0.06880000233650208,0.8385416865348816,0.7301164269447327,0.4023724188407262,0.4038461446762085,0.14482758939266205
42,0.8305211663246155,0.6420241594314575,0.4447487308288154,0.33841463923454285,0.08879999816417694,0.8427083492279053,0.7307044863700867,0.39996232589085895,0.4375,0.14482758939266205
43,0.8290213942527771,0.6493218541145325,0.44132835005647825,0.32947975397109985,0.09120000153779984,0.8458333611488342,0.7313644886016846,0.3973359907666842,0.4651162922382355,0.13793103396892548
44,0.8267716765403748,0.6496378779411316,0.4426204923318261,0.2888198792934418,0.07440000027418137,0.8385416865348816,0.7321472764015198,0.4013793090979258,0.4038461446762085,0.14482758939266205
45,0.8291463851928711,0.6601982712745667,0.4347550752191503,0.3243243098258972,0.08640000224113464,0.8385416865348816,0.73273104429245,0.4012792577346166,0.4038461446762085,0.14482758939266205
46,0.8255218267440796,0.6366935968399048,0.4477893918056128,0.28654971718788147,0.07840000092983246,0.846875011920929,0.7328750491142273,0.39546151558558146,0.4761904776096344,0.13793103396892548
47,0.8292713165283203,0.6517953276634216,0.44044576573326816,0.3273809552192688,0.08799999952316284,0.8458333611488342,0.7336958646774292,0.39630099733670554,0.4651162922382355,0.13793103396892548
48,0.8293963074684143,0.6488943696022034,0.44199691612425707,0.32415902614593506,0.08479999750852585,0.8427083492279053,0.7345377206802368,0.3982842137416204,0.4375,0.14482758939266205
49,0.8287714123725891,0.6452319025993347,0.44340564525845555,0.3245614171028137,0.08879999816417694,0.840624988079071,0.7358282804489136,0.39962085634469985,0.41999998688697815,0.14482758939266205
50,0.827146589756012,0.652205765247345,0.44062525653342594,0.3003003001213074,0.07999999821186066,0.8416666388511658,0.7357140183448792,0.39825215737024944,0.4285714328289032,0.14482758939266205
51,0.8322709798812866,0.6483603119850159,0.4390764266695772,0.3606060743331909,0.09520000219345093,0.846875011920929,0.7351216077804565,0.3957489192485809,0.47727271914482117,0.14482758939266205
